Category,Icon,Location,Refined_KR,Refined_EN,Original
Elevator Activity,🛗,1F,엘리베이터 탑승 (10번 출입구),Enter Elevator (10번 Exit),(1F)  10번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,"엘리베이터 탑승 (1, 3번 출구 횡단보도 건너)","Enter Elevator (1, 3번 Exit 횡단보도 건너)","(1F) 1, 3번 출구 횡단보도 건너 엘리베이터 탑승"
Elevator Activity,🛗,1F,엘리베이터 탑승 (10번 출입구 효성헤링턴건물 방향 중간쯤),Enter Elevator (10번 Exit 효성헤링턴건물 방향 중간쯤),(1F) 10번 출입구 에서 효성헤링턴건물 방향 중간쯤  엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (10번 출입구 지상1층),Enter Elevator (10번 Exit 지상1층),(1F) 10번 출입구 옆 지상1층 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (11번 출입구),Enter Elevator (11번 Exit),(1F) 11번 출입구 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (11번 출입구),Enter Elevator (11번 Exit),(1F) 11번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (1-1번 출입구),Enter Elevator (1-1번 Exit),(1F) 1-1번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (12번 출입구),Enter Elevator (12번 Exit),(1F) 12번 출입구 옆 엘리베이터 탑승
Move,🚶,1F,이동 (15번 출입구 대합실로),Move (15번 Exit 대합실로),(1F) 15번 출입구 대합실로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (1번 출입구 경사),Enter Elevator (1번 Exit 경사),(1F) 1번 출입구 경사엘리베이터 탑승
Move,🚶,1F,이동 (1번 출입구 대합실로),Move (1번 Exit 대합실로),(1F) 1번 출입구 대합실로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (1번 출입구),Enter Elevator (1번 Exit),(1F) 1번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (1번 출입구와 6번 출입구 사이),Enter Elevator (1번 Exit와 6번 Exit 사이),(1F) 1번 출입구와 6번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (1번/2번 출입구 사이),Enter Elevator (1번/2번 Exit 사이),(1F) 1번/2번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (2-1번 출입구),Enter Elevator (2-1번 Exit),(1F) 2-1번 출입구 옆 엘리베이터 탑승
Move,🚶,1F,이동 (2번 출입구 대합실로),Move (2번 Exit 대합실로),(1F) 2번 출입구 대합실로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (2번 출입구 또는 3번 출입구),Enter Elevator (2번 Exit 또는 3번 Exit),(1F) 2번 출입구 옆 엘리베이터 또는 3번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (2번 출입구),Enter Elevator (2번 Exit),(1F) 2번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (2번 출입구 지상),Enter Elevator (2번 Exit 지상),(1F) 2번 출입구 지상 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (2번 출입구와 3번 출입구 사이),Enter Elevator (2번 Exit와 3번 Exit 사이),(1F) 2번 출입구와 3번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (2번/3번 출입구 사이),Enter Elevator (2번/3번 Exit 사이),(1F) 2번/3번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,"엘리베이터 탑승 (3, 4번 출입구 사이)","Enter Elevator (3, 4번 Exit 사이)","(1F) 3, 4번 출입구 사이 엘리베이터 탑승"
Elevator Activity,🛗,1F,엘리베이터 탑승 (3-1번 출입구),Enter Elevator (3-1번 Exit),(1F) 3-1번 출입구 옆 엘리베이터 탑승
Move,🚶,1F,이동 (3번 출입구 대합실로),Move (3번 Exit 대합실로),(1F) 3번 출입구 대합실로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (3번 출입구 사이),Enter Elevator (3번 Exit 사이),(1F) 3번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (3번 출입구),Enter Elevator (3번 Exit),(1F) 3번 출입구 옆 엘리베이터 탑승
Subway Activity,🚉,1F,승차 (3번 출입구 휠체어리프트),Board (3번 Exit 휠체어리프트),(1F) 3번 출입구 휠체어리프트 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (3번/4번 출입구 사이),Enter Elevator (3번/4번 Exit 사이),(1F) 3번/4번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (3번출입구),Enter Elevator (3번Exit),(1F) 3번출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,"엘리베이터 탑승 (4, 5번 출구 사이 중앙)","Enter Elevator (4, 5번 Exit 사이 중앙)","(1F) 4, 5번 출구 사이 중앙 엘리베이터 탑승"
Move,🚶,1F,이동 (4번 출입구 대합실로),Move (4번 Exit 대합실로),(1F) 4번 출입구 대합실로 이동
Elevator Activity,🛗,1F,엘리베이터 탑승 (4번 출입구 외부),Enter Elevator (4번 Exit 외부),(1F) 4번 출입구 옆 외부엘리베이터 탑승
Subway Activity,🚉,1F,승차 (4번 출입구 휠체어리프트),Board (4번 Exit 휠체어리프트),(1F) 4번 출입구 휠체어리프트 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (4번/5번 출입구 사이),Enter Elevator (4번/5번 Exit 사이),(1F) 4번/5번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,"엘리베이터 탑승 (5,6번 출입구 사이)","Enter Elevator (5,6번 Exit 사이)","(1F) 5,6번 출입구 사이 엘리베이터 탑승"
Elevator Activity,🛗,1F,엘리베이터 탑승 (5번 출입구 사이),Enter Elevator (5번 Exit 사이),(1F) 5번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (5번 출입구 지상1층),Enter Elevator (5번 Exit 지상1층),(1F) 5번 출입구 옆 지상1층 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (5번/6번 출입구 사이),Enter Elevator (5번/6번 Exit 사이),(1F) 5번/6번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (6-1번 출입구),Enter Elevator (6-1번 Exit),(1F) 6-1번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (6번 출입구),Enter Elevator (6번 Exit),(1F) 6번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (6번출구),Enter Elevator (6번Exit),(1F) 6번출구 엘리베이터 탑승
Subway Activity,🚉,1F,하차 (6호선 신내 (종착) 승강장),Alight (6Line  신내 (종착) 승강장),(1F) 6호선 신내 (종착역) 승강장 하차
Elevator Activity,🛗,1F,엘리베이터 탑승 (7번/8번 출입구 사이),Enter Elevator (7번/8번 Exit 사이),(1F) 7번/8번 출입구 사이 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (8번 출입구),Enter Elevator (8번 Exit),(1F) 8번 출입구 옆 엘리베이터 탑승
Elevator Activity,🛗,1F,엘리베이터 탑승 (경의중앙선 4번 출입구 근처),Enter Elevator (경의중앙선 4번 Exit 근처),(1F) 경의중앙선 4번 출입구 근처 엘리베이터 탑승
Subway Activity,🚉,2F,하차 (7호선 수락산 방면 승강장),Alight (7Line  수락산 Bound for 승강장),(2F) 7호선 수락산 방면 승강장 하차
Subway Activity,🚉,2F,하차 (7호선 장암 방면 승강장),Alight (7Line  장암 Bound for 승강장),(2F) 7호선 장암 방면 승강장 하차
Subway Activity,🚉,2F,하차 (공항철도 검암 방면 승강장),Alight (공항철도 검암 Bound for 승강장),(2F) 공항철도 검암 방면 승강장 하차
Subway Activity,🚉,2F,하차 (공항철도 계양 방면 승강장),Alight (공항철도 계양 Bound for 승강장),(2F) 공항철도 계양 방면 승강장 하차
Subway Activity,🚉,2F,하차 (공항철도 김포공항 방면 승강장),Alight (공항철도 김포공항 Bound for 승강장),(2F) 공항철도 김포공항 방면 승강장 하차
Subway Activity,🚉,2F,하차 (공항철도 청라국제도시 방면 승강장),Alight (공항철도 청라국제도시 Bound for 승강장),(2F) 공항철도 청라국제도시 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 건대입구 방면 승강장),Alight (2Line  건대입구 Bound for 승강장),(3F) 2호선 건대입구 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 구의 방면 승강장),Alight (2Line  구의 Bound for 승강장),(3F) 2호선 구의 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 뚝섬 방면 승강장),Alight (2Line  뚝섬 Bound for 승강장),(3F) 2호선 뚝섬 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 성수 방면 승강장),Alight (2Line  성수 Bound for 승강장),(3F) 2호선 성수 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 영등포구청 방면 승강장),Alight (2Line  영등포구청 Bound for 승강장),(3F) 2호선 영등포구청 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 용답 방면 승강장),Alight (2Line  용답 Bound for 승강장),(3F) 2호선 용답 방면 승강장 하차
Subway Activity,🚉,3F,하차 (2호선 합정 방면 승강장),Alight (2Line  합정 Bound for 승강장),(3F) 2호선 합정 방면 승강장 하차
Subway Activity,🚉,3F,하차 (4호선 이촌 방면 승강장),Alight (4Line  이촌 Bound for 승강장),(3F) 4호선 이촌 방면 승강장 하차
Subway Activity,🚉,3F,하차 (4호선 총신대입구 방면 승강장),Alight (4Line  총신대입구 Bound for 승강장),(3F) 4호선 총신대입구 방면 승강장 하차
Subway Activity,🚉,4F,하차 (3호선 금호 방면 승강장),Alight (3Line  금호 Bound for 승강장),(4F) 3호선 금호 방면 승강장 하차
Subway Activity,🚉,4F,하차 (3호선 압구정 방면 승강장),Alight (3Line  압구정 Bound for 승강장),(4F) 3호선 압구정 방면 승강장 하차
Gate,🎫,B1,게이트 통과 (환승주차장 연결된 지하통로 표 내는 곳),Pass Gate (환승주차장 연결된 지하통로 표 내는 곳),(B1) 환승주차장 연결된 지하통로 표 내는 곳 통과
Subway Activity,🚉,B2,하차 (1호선 동묘앞 방면 승강장),Alight (1Line  동묘앞 Bound for 승강장),(B2) 1호선 동묘앞 방면 승강장 하차
Subway Activity,🚉,B2,하차 (1호선 제기동 방면 승강장),Alight (1Line  제기동 Bound for 승강장),(B2) 1호선 제기동 방면 승강장 하차
Subway Activity,🚉,B2,하차 (1호선 종각 방면 승강장),Alight (1Line  종각 Bound for 승강장),(B2) 1호선 종각 방면 승강장 하차
Subway Activity,🚉,B2,하차 (1호선 종로5가 방면 승강장),Alight (1Line  종로5가 Bound for 승강장),(B2) 1호선 종로5가 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 당산 방면 승강장),Alight (2Line  당산 Bound for 승강장),(B2) 2호선 당산 방면 승강장 하차
Subway Activity,🚉,B2,하차 (2호선 대림 방면 승강장),Alight (2Line  대림 Bound for 승강장),(B2) 2호선 대림 방면 승강장 하차
