file,original,translation
"movements_translations_1.json","4) 내부 엘리베이터 탑승","4) 내부 elevator board"
"movements_translations_1.json","2) 지하 2층 대합실로 이동","2) B2 concourse로 move"
"movements_translations_1.json","3) 4번 출입구 방면으로 이동","3) 4번 exit  directionto move"
"movements_translations_1.json","4) 개집표기 통과 후 경의중앙선 방향으로 이동","4) Pass through the fare gate 후 경의Jungang선 directionto move"
"movements_translations_1.json","1) (1F) 2번/3번 출입구 사이 엘리베이터 탑승","1) (1F) 2번/3번 exit between elevator board"
"movements_translations_1.json","1) (1F) 4번/5번 출입구 사이 엘리베이터 탑승","1) (1F) 4번/5번 exit between elevator board"
"movements_translations_1.json","2) 1호선 제기동 방면 대합실 방향 내부 엘리베이터 탑승","2) 1Line  Jegi-dong  direction concourse direction 내부 elevator board"
"movements_translations_1.json","3) (B1) 1호선 제기동 방면 대합실로 이동","3) (B1) 1Line  Jegi-dong  direction concourse로 move"
"movements_translations_1.json","4) 우대자용 개집표기에서 호출버튼 눌러 통과 요청(비운임구역 진입)","4) 우대자용 개집표기at 호출버튼 눌러 pass through 요청(비운임구역 진입)"
"movements_translations_1.json","6) (1F) 역사 바깥으로 이동","6) (1F) 역사 바깥to move"
"movements_translations_1.json","7) 9번 출입구 부근 2호선 용두 방면 엘리베이터 탑승","7) 9번 exit 부근 2Line  용두  direction elevator board"
"movements_translations_1.json","8) (B2) 2호선 용두 방면 승강장으로 이동","8) (B2) Move to Line 2 용두-bound platform"
"movements_translations_1.json","9) 우대자용 개집표기에서 호출버튼 눌러 통과 요청(운임구역 진입)","9) 우대자용 개집표기at 호출버튼 눌러 pass through 요청(운임구역 진입)"
"movements_translations_1.json","2) 1호선 동묘앞 방면 대합실 방향 내부 엘리베이터 탑승","2) 1Line  Dongmyo  direction concourse direction 내부 elevator board"
"movements_translations_1.json","3) (B1) 1호선 동묘앞 방면 대합실로 이동","3) (B1) 1Line  Dongmyo  direction concourse로 move"
"movements_translations_1.json","4) 우이신설선 방향 환승통로로 이동","4) 우이신설선 direction 환승통로로 move"
"movements_translations_1.json","5) 환승 엘리베이터 탑승","5) 환승 elevator board"
"movements_translations_1.json","6) (B1) 우이신설선 대합실로 이동","6) (B1) 우이신설선 concourse로 move"
"movements_translations_1.json","7) 우이신설선 보문 방면 엘리베이터 탑승","7) 우이신설선 Bomun  direction elevator board"
"movements_translations_1.json","8) (B2) 우이신설선 보문 방면 승강장으로 이동","8) (B2) 우이신설선 Bomun  direction platformto move"
"movements_translations_1.json","1) (1F) 2번 출입구 대합실로 이동","1) (1F) 2번 exit concourse로 move"
"movements_translations_1.json","5) 이동통로 방향 엘리베이터 탑승","5) move통로 direction elevator board"
"movements_translations_1.json","6) (B2) 이동통로로 이동","6) (B2) move통로로 move"
"movements_translations_1.json","4) 이동통로 방향 엘리베이터 탑승","4) move통로 direction elevator board"
"movements_translations_1.json","5) (B2) 이동통로로 이동","5) (B2) move통로로 move"
"movements_translations_1.json","2) 환승통로 방향 엘리베이터 탑승","2) 환승통로 direction elevator board"
"movements_translations_1.json","5) (B3) 6호선 창신 방면 승강장으로 이동","5) (B3) Move to Line 6 창신-bound platform"
"movements_translations_1.json","1) 6번 출입구 근처 엘리베이터 이용","1) 6번 exit near elevator 이용"
"movements_translations_1.json","3) 1번/6번 근처 개집표기로 이동","3) 1번/6번 near 개집표기로 move"
"movements_translations_1.json","4) 1번 출입구 근처 엘리베이터 이용","4) 1번 exit near elevator 이용"
"movements_translations_1.json","4) 종로5가 방면 엘리베이터 이용","4) Jongno 5-ga  direction elevator 이용"
"movements_translations_1.json","1) 10-4번 승강장 엘리베이터 이용","1) 10-4번 platform elevator 이용"
"movements_translations_1.json","3) 환승통로 이용","3) 환승통로 이용"
"movements_translations_1.json","5) 엘리베이터 이용","5) elevator 이용"
"movements_translations_1.json","1) 2-2번 승강장 엘리베이터 이용","1) 2-2번 platform elevator 이용"
"movements_translations_1.json","1) (1F) 2-1번 출입구 옆 엘리베이터 탑승","1) (1F) 2-1번 exit near elevator board"
"movements_translations_1.json","2) 3호선 대합실 방향 환승통로로 이동","2) 3Line  concourse direction 환승통로로 move"
"movements_translations_1.json","4) (B4) 3호선 안국 방면 승강장으로 이동","4) (B4) Move to Line 3 안국-bound platform"
"movements_translations_1.json","6) 3호선 대합실 방향 환승통로로 이동","6) 3Line  concourse direction 환승통로로 move"
"movements_translations_1.json","8) (B4) 3호선 안국 방면 승강장으로 이동","8) (B4) Move to Line 3 안국-bound platform"
"movements_translations_1.json","5) 5호선 대합실 방향 환승통로로 이동","5) 5Line  concourse direction 환승통로로 move"
"movements_translations_1.json","6) 5호선 환승 엘리베이터 탑승","6) 5Line  환승 elevator board"
"movements_translations_1.json","9) (B5) 5호선 광화문 방면 승강장으로 이동","9) (B5) Move to Line 5 광화문-bound platform"
"movements_translations_1.json","9) 5호선 대합실 방향 환승통로로 이동","9) 5Line  concourse direction 환승통로로 move"
"movements_translations_1.json","10) 5호선 환승 엘리베이터 탑승","10) 5Line  환승 elevator board"
"movements_translations_1.json","13) (B5) 5호선 광화문 방면 승강장으로 이동","13) (B5) Move to Line 5 광화문-bound platform"
"movements_translations_1.json","1) 2번 출입구 근처 엘리베이터로 이동","1) 2번 exit near elevator로 move"
"movements_translations_1.json","3) 3번 출입구 근처 개집표기 통과 후 엘리베이터 이용","3) 3번 exit near 개집표기 pass through 후 elevator 이용"
"movements_translations_1.json","3) 고객안전실 근처 개집표기 통과 후 엘리베이터 이용","3) 고객안전실 near 개집표기 pass through 후 elevator 이용"
"movements_translations_1.json","2) 엘리베이터 이용","2) elevator 이용"
"movements_translations_1.json","4) 개집표기 통과 후 엘리베이터 이용","4) Pass through the fare gate 후 elevator 이용"
"movements_translations_1.json","6) 환승통로 이동","6) 환승통로 move"
"movements_translations_1.json","7) 엘리베이터 이용","7) elevator 이용"
"movements_translations_1.json","2) 환승통로 이동","2) 환승통로 move"
"movements_translations_1.json","3) 엘리베이터 이용","3) elevator 이용"
"movements_translations_1.json","2) 시청방면 승강장 4-4 부근 승강장 엘리베이터 탑승","2) City Hall direction platform 4-4 부근 platform elevator board"
"movements_translations_1.json","3) 엘리베이터로 (B1) 대합실 이동","3) elevator로 (B1) concourse move"
"movements_translations_1.json","4) 장애인 게이트에서 콜 버튼 눌러 4호선 환승을 위한 게이트 통과 요청","4) 장애인 게이트at 콜 버튼 눌러 4Line  환승을 위한 게이트 pass through 요청"
"movements_translations_1.json","5) 게이트 통과후 (B1) GTX-A 대합실로 이동(비운임구역 진입)","5) 게이트 pass through후 (B1) GTX-A concourse로 move(비운임구역 진입)"
"movements_translations_1.json","6) GTX-A 대합실에서 4호선 12번 출구 방면 (B1) 대합실로 이동","6) GTX-A concourseat 4Line  12번 출구  direction (B1) concourse로 move"
"movements_translations_1.json","7) 12번 출구 근처 4호선 승강장 엘레베이터 앞 게이트에서 4호선 환승을 위한 게이트 통과 요청","7) 12번 출구 near 4Line  platform 엘레베이터 앞 게이트at 4Line  환승을 위한 게이트 pass through 요청"
"movements_translations_1.json","8) 4호선 게이트 통과(운임구역 진입)","8) 4Line  게이트 pass through(운임구역 진입)"
"movements_translations_1.json","9) 4호선 승강장 엘레베이터 탑승","9) 4Line  platform 엘레베이터 board"
"movements_translations_1.json","10) (B2) 4호선 회현 방면 승강장으로 이동","10) (B2) Move to Line 4 회현-bound platform"
"movements_translations_1.json","10) (B2) 4호선 숙대입구 방면 승강장으로 이동","10) (B2) Move to Line 4 숙대입구-bound platform"
"movements_translations_1.json","2) 남영방면 승강장 7-1 부근 승강장 엘리베이터 탑승","2) Namyeong direction platform 7-1 부근 platform elevator board"
"movements_translations_1.json","3) 엘리베이터로 (B1) 대합실로 이동","3) elevator로 (B1) concourse로 move"
